epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2415,1.63481,4.30778,1.49922,0.21656,0.28636,0.11277,0.06655,1.54861,3.69127,1.50558,5.336e-05,5.336e-05,5.336e-05
2,15.0156,1.44284,3.13595,1.3818,0.28754,0.68665,0.37342,0.20121,1.40685,3.52616,1.34512,0.000111519,0.000111519,0.000111519
3,18.7576,1.37876,2.34808,1.24197,0.49524,0.52625,0.49266,0.26506,1.51965,3.45586,1.44361,0.000167697,0.000167697,0.000167697
4,23.1654,1.35158,1.90394,1.27411,0.51808,0.59384,0.60346,0.3638,1.43061,2.5889,1.34123,0.000221894,0.000221894,0.000221894
5,26.9627,1.31384,1.5884,1.24713,0.6739,0.70832,0.68872,0.42581,1.43555,1.48023,1.33131,0.00027411,0.00027411,0.00027411
6,30.3695,1.31318,1.54167,1.24499,0.71717,0.72509,0.79744,0.48091,1.41457,1.26749,1.31103,0.000324345,0.000324345,0.000324345
7,33.9337,1.28933,1.32348,1.2528,0.6597,0.76438,0.79111,0.4743,1.39351,1.16341,1.32469,0.0003726,0.0003726,0.0003726
8,38.1503,1.27893,1.22689,1.21581,0.88445,0.63242,0.82698,0.51839,1.40137,1.24513,1.38352,0.000418873,0.000418873,0.000418873
9,41.579,1.28492,1.16803,1.25126,0.65836,0.83567,0.84024,0.49775,1.41092,1.19104,1.39701,0.000463165,0.000463165,0.000463165
10,44.8748,1.30972,1.17829,1.28551,0.74403,0.75075,0.86018,0.50527,1.44984,1.14157,1.43193,0.000505476,0.000505476,0.000505476
11,48.743,1.2407,1.02175,1.24115,0.7651,0.77575,0.86799,0.51812,1.42806,1.08763,1.39224,0.000545806,0.000545806,0.000545806
12,52.4049,1.22497,0.9643,1.21428,0.86393,0.695,0.83349,0.5244,1.36568,1.09026,1.40509,0.00054594,0.00054594,0.00054594
13,55.7685,1.22862,0.95747,1.24153,0.8011,0.74311,0.81581,0.52985,1.3551,1.14411,1.39584,0.000534934,0.000534934,0.000534934
14,59.1695,1.25321,0.91844,1.21765,0.72174,0.87945,0.8484,0.51531,1.45487,0.99985,1.44708,0.000523928,0.000523928,0.000523928
15,63.3292,1.26055,0.90085,1.21952,0.81783,0.72744,0.85478,0.49712,1.48382,1.14215,1.48538,0.000512923,0.000512923,0.000512923
16,66.6368,1.20121,0.84285,1.23253,0.81838,0.7497,0.83844,0.51622,1.40146,0.9978,1.38177,0.000501917,0.000501917,0.000501917
17,69.8723,1.16294,0.82613,1.18344,0.83035,0.71172,0.81856,0.50671,1.44287,1.01787,1.42088,0.000490912,0.000490912,0.000490912
18,73.3414,1.15102,0.80799,1.22833,0.72145,0.84583,0.83204,0.50827,1.40532,0.99337,1.3961,0.000479907,0.000479907,0.000479907
19,77.3504,1.16513,0.76786,1.19336,0.78782,0.82053,0.84008,0.50103,1.4144,1.05679,1.44067,0.000468901,0.000468901,0.000468901
20,80.6651,1.12673,0.75793,1.17126,0.79301,0.78242,0.86573,0.54511,1.38897,0.91128,1.39242,0.000457895,0.000457895,0.000457895
21,84.0208,1.12591,0.77303,1.16756,0.77249,0.82905,0.85897,0.53664,1.39558,1.01219,1.45608,0.00044689,0.00044689,0.00044689
22,88.0371,1.08858,0.75406,1.1705,0.71784,0.8544,0.83223,0.52392,1.37401,1.06547,1.42381,0.000435884,0.000435884,0.000435884
23,91.7,1.07,0.72062,1.13807,0.76755,0.84087,0.84943,0.53725,1.35813,0.91509,1.40453,0.000424879,0.000424879,0.000424879
24,94.9431,1.07248,0.71416,1.15999,0.8227,0.91492,0.8769,0.53833,1.35511,0.8737,1.41223,0.000413873,0.000413873,0.000413873
25,98.1847,1.02309,0.65354,1.10338,0.78669,0.87565,0.89199,0.55632,1.3788,0.92497,1.43347,0.000402868,0.000402868,0.000402868
26,102.379,1.05033,0.64558,1.13332,0.75822,0.8548,0.86607,0.53596,1.39588,0.95036,1.41817,0.000391862,0.000391862,0.000391862
27,105.656,1.03617,0.66394,1.13569,0.82089,0.79534,0.86095,0.5167,1.39831,0.96089,1.43762,0.000380857,0.000380857,0.000380857
28,108.888,1.01169,0.65582,1.13838,0.85063,0.88809,0.86953,0.55098,1.33519,0.81392,1.35882,0.000369851,0.000369851,0.000369851
29,112.353,0.99097,0.6331,1.10255,0.8369,0.82989,0.8512,0.53715,1.32087,0.84236,1.36879,0.000358846,0.000358846,0.000358846
30,116.351,0.99148,0.63297,1.10202,0.84284,0.80738,0.85197,0.52932,1.35105,0.87437,1.38438,0.00034784,0.00034784,0.00034784
31,119.644,0.97937,0.59213,1.10445,0.82364,0.83248,0.86394,0.52573,1.38016,0.87301,1.41783,0.000336835,0.000336835,0.000336835
32,122.937,0.94474,0.56091,1.06799,0.89467,0.88408,0.88791,0.56573,1.38575,0.80895,1.44022,0.000325829,0.000325829,0.000325829
33,126.907,0.94522,0.59584,1.09908,0.87018,0.8732,0.88222,0.54535,1.3935,0.79623,1.47702,0.000314824,0.000314824,0.000314824
34,130.312,0.94347,0.59203,1.10033,0.79352,0.87389,0.87129,0.54506,1.36997,0.84048,1.45798,0.000303818,0.000303818,0.000303818
35,133.522,0.91933,0.57604,1.06703,0.83163,0.79462,0.87498,0.5527,1.37221,0.85776,1.44286,0.000292813,0.000292813,0.000292813
36,136.8,0.88453,0.57476,1.08307,0.85168,0.83304,0.88108,0.55322,1.39888,0.84761,1.47995,0.000281807,0.000281807,0.000281807
37,140.866,0.88745,0.55941,1.08624,0.89068,0.84597,0.88445,0.55315,1.39143,0.84665,1.47668,0.000270802,0.000270802,0.000270802
38,144.193,0.89987,0.56529,1.09175,0.8847,0.81315,0.87715,0.54119,1.38096,0.81878,1.43276,0.000259796,0.000259796,0.000259796
39,147.396,0.87351,0.52066,1.02435,0.88772,0.82765,0.87789,0.5542,1.35582,0.77128,1.40312,0.000248791,0.000248791,0.000248791
